reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cebb64c8-9e5e-48cf-b491-848ab8cebf9b,Fajar Agus Maulana,https://play-lh.googleusercontent.com/a-/ALV-UjWchaLUBdhtpaGhxV-deJQ6wAEzhZKnjt30NYwszq2JmLPRyJ0_,"APLIKASI GAGAL. Banyak bug, over akses jadi Lemot, kamera tidak bisa di fokuskan dan kualitas gambar tulisan jadi blur kenapa gapake kamera bawaan HP kaya daftar hadir. Unggah gambar tulisan ""tunggu sesaat"" TAPI 3 hari blum selesai proses pengunggahannya. Cara pengaplikasianya cukup mudah. Tapi ya seperti tadi contohnya aplikasi gabagus buat pemilihan yg minta cepat tapi aplikasi banyak masalah.",1,66,2.48,2024-02-21 09:10:37,,,2.48
d3ea0b9c-3d6d-4cb6-a45e-5d179b48dbc8,Buter Grafika 23,https://play-lh.googleusercontent.com/a-/ALV-UjXtey1VJdEWQlmJ6UCIARN4KAS83ljvP1Ex6HB7rQ-7C0RKA_I,"fitur dari sirekap belum sepenuhnya mutakhir perlu ditingkatkan kembali, jangan sampai gara-gara apk ini petugas kpps yang disalahkan. perlu peningkatan : hasil scan tidak bisa di edit 2x al hasil ketika ada revisi tidk bisa diubah, daftar hadir tidak ada opsi DPT, DPK dan DPTB, proses upload relatif lama seperti server belum siap menampung. mode offline banyak yang blank tidak terbaca di server padahal di aplikasi sudah sukses terkirim. Mohon di perhatikan untuk kedepan",1,229,2.48,2024-02-20 10:42:18,,,2.48
a3b99072-1e95-458c-9814-8fca7e28e35d,Starlex_104 channel,https://play-lh.googleusercontent.com/a-/ALV-UjWVh5jY-_mdIzXLU6-pH6BkVi3Ax5UslwF0R2dpFOtsaJEc_DKP,"Saran dari saya, ai input yang bisa di edit. Tambahkan coding (bila online, tetap dapat diedit kalau memang mau dikoreksi. Jika offline, nanti setelah lengkap baru upload). Tidak harus metode offline dengan online. Agar tidak kejadian seperti ini (banyak KPPS yang tidak upload) gara"" verifikasi saat online (lupa mengaktifkan mode pesawat). Untuk total suara sebaiknya dikunci, dan menghitung otomatis dari data yang telah diinput. Aplikasi dibuat untuk mempermudah, bukan mempersulit.",1,19,2.48,2024-02-15 15:31:37,,,2.48
be379d36-4efc-45cf-9904-df57f6aed9ff,Arsyi J,https://play-lh.googleusercontent.com/a-/ALV-UjXNLgoeWZ_SIJn1aoJAuigLlaD_KuuckFNai080MxcJVFyIhjuq,"Aplikasi yang menyusahkan dalam perhitungan kpps 1. foto kertas selalu tidak akurat 2. Server sangat lemah (mungkin kurang anggarannya, butuh dana lebih Rp.100m) 3. Aplikasi tergolong gampang di jebol karena tidak server sided 4. Sangat menyusahkan pengguna karena tidak bisa ambil foto dari storage hp 5.aplikasi tergolong lemot masih banyak bug dan pengembangan yang lambat dan asal asalan (Saya menggunakan sdm 7+ gen 2 tetapi aplikasi masih sangat lambat) 6. Masih banyak sampai no 13 dsb",1,494,2.48,2024-02-15 04:17:32,,,2.48
cc558764-a675-4508-94b6-e96ca948c271,Irma Yanti,https://play-lh.googleusercontent.com/a/ACg8ocJINGYlzA0KeR3jL6TWNDm2qw74pWyC7-r5ee27GeGitMsPVw=mo,"Benar² buruk, aplikasi dipake se Indonesia, seharusnya kalo memang masih eror seperti ini terus,mending tidak usah bikin aplikasi sirekap,katanya buat mempermudah, tapi hasilnya mempersulit. Aplikasi hampir setiap Minggu ganti versi.",1,22,2.48,2024-02-15 16:20:03,,,2.48
60b88f78-7002-4fbd-ab59-2b5512d56f01,Siti Fadilah,https://play-lh.googleusercontent.com/a-/ALV-UjVkQCvazzd644xhLqBn5mK4Z_KzfQvDLmrwV3cNuJ88D9uIJnxX,"Aplikasinya belum siap buat publish, masih banyak yg harus diperbaiki 1. Ada 2 anggota sirekap di 1 TPS, data yg sudah di upload disirekap 1 tidak muncul di sirekap 2. (Fixing) 2. Seharusnya ada akses untuk edit data / pemberitahuan jika C Salin tidak sama dengan data yg sudah diupload. 3. Scan yg tidak sesuai Auto Clear di tiap inputan. 4. Upload kehadiran DPT untuk menambahkan halamn tidak terlihat (terlalu bawah) 5. Upload Data saksi seharusnya hanya ada ditiap jenis suara (agar tidak dobel)",3,40,2.48,2024-02-19 00:35:40,,,2.48
6d557be0-a214-46d4-9e2d-78bf777a0721,didin,https://play-lh.googleusercontent.com/a-/ALV-UjU6hklEbii0BEmq4gd2xMDEJ9oXbaPnvfQENBTsFXTFdt1rnkw,"Aplikasi pemerintah tp sangat buruk kwalitasnya , susah log in ,sering mental kluar jika input data , trus pembacaan Kamera tidak sesuei real nya . Udah gitu yg ppwp tidak bisa di edit jika sistem gk bisa baca , pokoknya buruk sekali",1,10,2.48,2024-02-18 22:55:11,,,2.48
1ffad6f5-7bf1-4ae9-9127-50e46f8b64bd,Jaja Jamaluddin,https://play-lh.googleusercontent.com/a-/ALV-UjVSec8Lg6_XNqIslHdDta3ySQSyRVU4QShwo1DhMrcbYOJG8Ll53g,"Aplikasi menyusahkan, bukan mempermudah pekerjaan. Harusnya untuk foto bisa bentuk foto apa saja yang penting jelas terbaca dan betul hasil plano dibawahnya inputan manual hasil biar mempermudah. Bukan harus ini itu foto hasilnya.",1,12,2.48,2024-02-19 18:46:12,,,2.48
2f09542b-0e95-484e-9a74-152041ee3bbd,Pitri Yani,https://play-lh.googleusercontent.com/a-/ALV-UjUroC3DsCXM6hXg1BfIiqzk41gTpmIuBlCuiu_D1vFFTPWEd4iu,"Sangat mengecewakan tidak bisa di login disemua tipe hp. Seharusnya lebih di tingkatkan lagi aplikasi supaya bisa di akses ke semua tipe hp. Lebih ditingkatkan lagi supaya bisa terbaca angkanya angka digital maupun angka biasa. Pokoknya tingkatkan lagi. Jangan sampe banyak yang akses jadi loading, macet, kirim Poto nunggu nya sampai sampe selesai di kirim. Jangan nyalahin anggota kpps yang udah bener tulisnya. Tolong perbaiki aplikasinya jangan sampai saling menyalahkan",1,3,2.48,2024-02-21 00:44:31,,,2.48
340f357e-24b7-4ee7-8dd2-1666eb2547dd,enesis jember,https://play-lh.googleusercontent.com/a-/ALV-UjVU2UXYJ-6wC6aA4lOw16sOE-cnP2opvI9-i6QNVdaT4wzY4H3b,"Kamera jelek tidak bisa HD kayak kamera jadul, tidak bisa mendeteksi angka, aplikasi nya susah di pakai lemot tingkat dewa. Intinya kameranya tidak patut digunakan. Mungkin bisa di revisi untuk pemilu-pemilu selanjutnya. Pencahayaan harus pakai sokle kah baru bisa terbaca, Aplikasi nya tolol",1,23,2.48,2024-02-17 14:53:11,,,2.48
9c5a2143-5baf-409a-8456-e3d09260a31b,Muchamad Anwar,https://play-lh.googleusercontent.com/a/ACg8ocJWvF7BxKA-UBbVTKsJx991On5xFPU78qst3Yu6FVaNtMvSLg=mo,"Dengan adanya sirekap, ekspetasi penghitungan suara akan lebih cepat dan mudah Tapi realitanya tidak sesuai ekspetasi, malah mempersulit dan memperlambat. Semoga bisa diperbaiki agar 5taun kedepan bisa digunakan dengan optimal",2,19,2.48,2024-02-17 11:47:45,,,2.48
